Address,PropertyType,Beds,Baths,Sqft,YearBuilt,WalkScore,TransitScore,ParkingPrice,ParkingType,Cooling,Laundry,Description,Price
5420 Broad St Pittsburgh PA 15206,0.0,2.0,1.0,1000.0,1930.0,86.0,63.0,0.0,0.0,1.0,1.0,"Large, bright, 2 bedroom apartment recently renovated. Great views across city, central AC. Features include:

 -2 living rooms
 -full closets in both bedrooms
 -2 private decks, one with amazing view across friendship
 -free use washer and dryer in apartment (no coins)
 -dishwasher
 -new windows
 -new electric
 -new central heating and AC system
 -new full perimeter insulation 
 -refinished floor

One short block up the hill from Penn ave and Bus lines. Half mile from East Liberty and whole foods. Ample street parking.

 Email with more interest, and please answers the following questions;

 1. How many of you would live here, are you roommate or couple format?
 2. What do you do for a living?
 3. Where do you currently live?
 4. What are your full names 
 5. If pets please describe.

Utilities not included in rent

Utilities not included in rentRead less",1500.0
333 Pacific Ave Pittsburgh PA 15224,0.0,1.0,1.0,900.0,1950.0,87.0,66.0,0.0,0.0,0.0,0.0,"Large third floor one bedroom apartment in Friendship/Bloomfield area - close to hospitals, Bloomfield business district, universities, and Shadyside; Easy access to downtown. Living room has large bay window; separate dining room; hardwood floors throughout; coin operated washer and drLarge second floor one bedroom apartment in Friendship/Bloomfield area - close to hospitals, Bloomfield business district, universities, and Shadyside; Easy access to downtown. Living room has large bay window; separate dining room; hardwood floors throughout; coin operated washer and dryer in building; storage locker in basement; available July 1, 2021 - $1,015.00 plus gas and electric.

Owner pays for water, sewage and trash removal.Read less",1015.0
5129 Carnegie St Pittsburgh PA 15201,1.0,2.0,1.0,900.0,1950.0,83.0,62.0,0.0,0.0,0.0,1.0,"Just 2 blocks from Butler Street is this spacious 2 bedroom, 1 bathroom town home at 5127 Carnegie St with lower level office or possible 3rd bedroom. Fenced in yard. Eat in kitchen with range and fridge. Close to schools, hospitals, shopping and nightlife! Laundry hook ups in basement. Thanks for looking!

Tenant responsible for all utilities (gas, water, and electric). Small pets ok with additional security deposit and $25 per month pet fee.Read less",960.0
221 Atwood St Pittsburgh PA 15213,0.0,1.0,1.0,500.0,1950.0,97.0,71.0,0.0,0.0,0.0,0.0,,900.0
1533 Hoff St Pittsburgh PA 15212,0.0,1.0,1.0,900.0,1950.0,68.0,53.0,0.0,0.0,0.0,0.0,"1 BR ; Troy Hill, Pgh ; $795+G+E

PLEASE NOTE: We are limiting our in-person showings. We do have a video tour of the property that is available to anyone who requests it. At this time, we are limiting our in-person showings to only people who have submitted paid applications.

Highlights
- Clean
- Nice layout
- Eat-In kitchen
- Nice inside.

Quick facts
Bedrooms:	1
Bathrooms:	1
Parking:	On Street
Pet Policy:	Pets allowed w/ deposit
Availability:	June 1, 2021
		

Description
This very nice apartment has recently been completely renovated.

- Newly renovated
- Fresh paint
- Clean
- Nice layout
- 1st floor
- Eat-In kitchen
- Stove and fridge included
- Nice View
- Back yard
- Work in progress outside but very nice inside.
- Sorry no Section 8 on this unit.

Details
Rent:$795+G+E
Application Fee:$30.00 per family
Security Deposit:$795 minimum
Monthly Pet Fee:$0.00 (no monthly fee required)
Pet Deposit:
Cats: $100 for first cat; $50 for each additional cat
Dogs: $400 for first dog; $100 for each additional dog
Others: Please call

Required Funds at Move-in: First Month Rent + Equivalent Amount in Security Deposit + Any Pet Deposits
Lease Term: One year or longer if desired
Sorry, we do not accept Section 8 on this unit

Address:
1533 Hoff St
Apt 1
Pittsburgh, PA 15212

Minimum requirements
- Annual gross income of $35,000 or more
- Decent Credit Score (roughly 650 or more)
- Excellent rental reference(s)
- No Magisterial Landlord-Tenant complaint filings
- No prior evictions
- No criminal background
*Some exceptions may be possible, please call for details.

One year, or longer if desiredRead less",795.0
1627 Penn Ave Pittsburgh PA 15222,0.0,2.0,2.0,926.0,1950.0,80.0,80.0,0.0,0.0,1.0,2.0,"Welcome to 1627 On The Strip! Come enjoy our panoramic city and river views from the tallest building in the Strip District featuring nicely appointed industrial style lofts, 14? ? 24? foot ceilings, all-stone countertops, stainless steel appliances, polished concrete floors, oversized windows all offering spectacular river, city and Strip District views in this Boutique-Style, Historic Building. Mingle with neighbors and friends on our furnished-for-fun, expansive rooftop deck outfitted with a grilling area, a four-legged friend dog walk & play area, fire pit and outstanding city and river views! Also featuring an adjacent air-conditioned room equipped with a kitchenette, beautiful & comfortable seating area and television availability for your comfort and entertainment!  Schedule an appointment today and experience our wonderful community and commitment to stress-free resident living! YOU are our priority!",2000.0
1620 Beechwood Blvd Pittsburgh PA 15217,1.0,3.0,1.0,1632.0,1915.0,82.0,55.0,0.0,0.0,0.0,1.0,"Beechwood Blvd Available July 1st!

Super location and value! Quiet, upscale residential area surrounded by expensive homes. Three short blocks North of the heart of Sq. Hill's great commercial district with its many independently owned stores, ethnic restaurants, Manor Movie Theater, Carnegie Library, Starbucks, etc, etc, etc...

House is set back from Beechwood Blvd. Classic woodwork and moldings engulf the space. Equipped kitchen. Hardwood floors. 2 full BRs + 1/2 BR (ideal for home office) on 2nd floor. PLUS full open, carpeted, heated 3rd floor. Updated lighting and ceiling fans throughout. Basement w/ washer & dryer included. Street parking, but driveway for deliveries. Colfax School.

Due to COVID concerns, in-person tours are being help to a minimum through tenant-occupied apartments. A virtual tour video will be shared with all correspondences. In-person tours will then be scheduled with APPROVED Zillow applicants only. No exceptions.

$1,800 + all utilities (electric, gas, water & sewage)

Sorry no undergraduates.

Owner Managed means We Care More: We provide super service and can offer you proof-- Check us out with our tenants ""behind our back"".

Tenant responsible for electric, gas, and water & sewage.Read less",1800.0
151 Oneida St Pittsburgh PA 15211,0.0,1.0,1.0,900.0,1950.0,61.0,68.0,0.0,0.0,0.0,0.0,"August 1st! Great 2nd floor, 1 bedroom with a walk-in closet, living room, eat-in kitchen, and parking. Just 1 Block from Grandview near the Duquesne Incline, close commute to colleges, universities, hospitals & downtown. You pay gas & electric and we pay for water, sewage & trash. Renting from PPM Advantage!:. - easy online rent payments. - build your credit. - online service request. - buy your home with PPM and break your lease with no fees. credit and criminal check required, not Approved for section 8, no pets, the rental rate is based on single occupancy, $65 additional fee for dual occupancy, square footage is estimated. 2nd Floor. Close To Restaurants And Bars!. Large Rooms!. Near Transportation. ParkingRead less",845.0
308 38th St Pittsburgh PA 15201,1.0,2.0,1.0,900.0,1950.0,88.0,62.0,0.0,0.0,0.0,1.0,"Updated townhouse with 2 bedrooms + 3rd floor bonus room + 1 bathroom

Updated bathroom is on the first floor:
-new tile
-new vanity
-new toilet
-new light fixtures

First floor has new hardwood floors in the living room

New paint and light fixtures throughout

Kitchen includes:
-new cabinets
-new granite counters
-new stainless steel appliances 
-new tile floor

2nd and 3rd floors have new carpet 

Both bedrooms have closets that are larger for an old home 

3rd floor is a bonus room ideal for yoga, home office, etc

Newer windows and new blinds included

New washer and dryer in the basement

Non permitted street parking available 

No dogs

Tenants pay gas and electric

Owner pays water

First month's rent, 1 month security deposit, and a credit score of 700+ requiredRead less",1350.0
83 Norton St Pittsburgh PA 15211,0.0,2.0,1.0,2660.0,1900.0,61.0,68.0,0.0,1.0,1.0,0.0,"-central air conditioning
-dishwasher
-freshly painted
-newly installed carpet and flooring
-one off-street parking space
-washer/dryer and storage area in basement
-closely located to bus stop
-walking distance to incline
-no petsRead less",1250.0
141 Jillson Ave Pittsburgh PA 15226,0.0,1.0,1.0,900.0,1950.0,78.0,44.0,0.0,1.0,1.0,0.0,"Gorgeous, spacious and newly remodeled apartment with separate entrance in a four-unit building. Real hardwood floors, granite tops and stainless steel kitchen appliances. Individual apartment controlled heating and cooling. Shared laundry room and storage option in building basement. 0.8. miles from light rail station and 4 miles from Downtown Pittsburgh.

Owner pays for water, sewer and garbage. Renter is responsible for gas and electric.Read less",960.0
6351 Walnut St Pittsburgh PA 15206,0.0,1.0,1.0,825.0,1950.0,93.0,69.0,0.0,0.0,0.0,0.0,"Now Available July 1st!

Spacious 1 Bedroom in Shadyside - Great Location! Original Hardwood Floors, Fully Equipped Kitchen w/ Dishwasher, Laundry in Building, and FREE Gas/Heat!
Just blocks away from Bakery Square, Walnut Street shops, and many other spots around Shadyside and East Liberty.. Free street parking around building

Call us today for more information!
No Pets Allowed

(RLNE3407405)Read less",1095.0
1011 Negley Ave Pittsburgh PA 15206,0.0,1.0,1.0,900.0,1950.0,66.0,47.0,0.0,1.0,1.0,0.0,"Features: Real Hardwood Floors, Dishwasher, Built-in Microwave, Huge Walk-in Closet, Deep Window Sills, Ample Amount of Windows. 

Amenities: Access to the Pool, Fitness Room and Dog Run on the Main Property Locates Just across the street! 

Location:10 min walk to Tazza D'Ora coffee shop and acclaimed restaurants on charming Bryant St. -- Only 10min drive to Wholefoods, Giant Eagle, Target, and Trader Joes! -- Catch a movie at the Waterworks Mall just 15min away. -- Less than 10min away from Lawrenceville, home of UPMC Children's Hospital and night clubs at Butler st. -- Less than 10min away from Shadyside West Penn Hospital and UPMC Shadyside Hospital

Tours available Monday- Saturday give us a call or reply to our craigslist ad.
Office Located at Highland Park Club Apartments, 1001 N Negley Ave, Pittsburgh, PA

DESCRIPTION
The one and two bedrooms are fully renovated apartments with modern designs and open floor plans, with water included. Our spacious living rooms feature large windows that drench the room in sunlight. The big eat-in kitchen is cheerful, and bright, with a built-in microwave, dishwasher, ample cabinets, and a generous amount of countertop space. You'll love the recently remodeled shower and beautiful tile work in the bathrooms. 

A laundry room is located in the basement of the building with modern front-loading machines, sink, and a folding table. 

Enjoy our fitness center year-round and relax from the sun on those hot summer months in our spacious in-ground pool. Or have a BBQ with friends utilizing our grills with free propane provided year-round on the main property located just across the street. 

WE ARE PET FRIENDLY And have a dog run located on the main property. (STRICT 25lbs limit; 2 Pet Max)

APPLICATION PROCESS
There is a $30 application fee, we will be running a CREDIT and BACKGROUND check. 
Applicants must have no criminal record and have a credit score of 700 or higher. 
A Security deposit that is equal to 1 months' rent is needed to hold the apartment.Read less",1175.0
631 Southcrest Dr Pittsburgh PA 15226,0.0,1.0,1.0,660.0,1940.0,10.0,59.0,50.0,2.0,0.0,3.0,"Southcrest Heights is centrally located just south of Pittsburgh in Brookline with easy access to shopping, restaurants, public transportation, Route 19/West Liberty Ave, Route 51 and downtown Pittsburgh. 1, 2 \u0026 3 bedroom apartments for rent feature fabulous layouts with spacious floor plans, wall-to-wall carpeting and equipped kitchens. This controlled access apartment community offers on-site laundry facilities, extra storage, a courtyard and covered parking. Call today for details and to schedule your own personal tour. 1, 2 & 3 Bedrooms, 24 Hour Emergency Maintenance, Attached Garage, Close to Brookline Boulevard Shopping, Equipped Kitchens, Free Gas Heat, Free Heat Ceiling Fans, Great Layouts with Spacious Rooms, Heat & Water Included, Laundry Service Facilities-Smart Card, Maintenance Free Living, Management Office On Site, Minutes to Pittsburgh, Off Street Parking 640 Southcrest Drive, On Line Rent Payments, On Site Maintenance, Online Maintenance Portal, Utilities Included, Wall to Wall Carpeting",775.0
2565 Boyce Plaza Rd Pittsburgh PA 15241,0.0,2.0,2.0,1152.0,1950.0,20.0,0.0,0.0,1.0,1.0,2.0,"Experience the best in luxury living with breathtaking creek and woodland views offering plenty of privacy, not often found in apartment living. Our unique Upper St. Clair community and friendly management team provide you with a serene, yet energetic atmosphere that you will look forward to coming home to each day. Torrente is located in the #1 school district in Western Pennsylvania, Upper St. Clair. This historic community was founded in 1762 and has been a community rich in pride and history ever since. We offer an exceptional location within this community, thoughtfully nestled within Upper St. Clair and close to all the your everyday conveniences as South Hills Village Mall and Whole Foods. Our Residents enjoy a wide array of popular amenities, such as: on-site maintenance with no maintenance fees, on-site storage, garage and underground parking facilities, a 24-Hour Fitness Center, as well as elevators in all the buildings and so much more!",1610.0
1422 Stedman St Pittsburgh PA 15233,1.0,2.0,1.5,1950.0,1900.0,62.0,59.0,0.0,1.0,1.0,1.0,"Unique house with open loft type floor plan, three fireplaces (one with gas logs) floor plan. hardwood maple floors, stainless appliances, 1.5 baths, exposed brick, roof top deck, full basement for storage and with washer/dryer. View of owner's neighboring court yard (nearly half acre, trees, pond) and views to Mt Washington and West End bridge. 

1st floor: kitchen with granite counter top island, stainless appliances, exposed brick, fireplace, open stair case, pantry, half bath, stained glass transom. and small private courtyard. 

2nd floor-Open loft floor plan with hardwood floors, two fireplaces, walk in closet, and bath. 

3rd Floor- Hardwood floors, skylight, front dormer with views, and roof top deck. 
Full basement with laundry and ample storage. House insulated with spray insulation. New high efficiency furnace and central AC. 

Side yard. Off street parking.

Owner pays for trash and water. Tenant responsible for gas and electric.Read less",1750.0
5492 Youngridge Dr Pittsburgh PA 15236,0.0,0.0,1.0,416.0,1950.0,52.0,38.0,0.0,0.0,1.0,2.0,"Experience the difference. Experience The Alden South Hills. The community is under new ownership and new management with a whole new look. Our newly renovated apartment homes offer comfort, style and convenience. The open floor plans are perfect for entertaining. Your new modern appliances and designer kitchens will be the envy of your friends. Our renovations do not just end with the apartment. Not only will you love to show off your new home, but The Alden is the only community in Pittsburgh to have a stunning NEW 15,000 square foot clubhouse with resident business center and conference room, clubroom for lounging around and a private terrace that overlooks the pool. All of our valued residents will be able to relax poolside with a shimmering pool and sun deck. A great place to escape on a hot day. You will be able to stay fit in our state of the art fitness center! We love pets and we\u0027re the perfect place for you and your four legged friends. Located on 56 park like acres, you have tons of space to take your dog for a walk. The community has two convenient playgrounds, a basketball court with multiple grilling and picnic areas. Your South Hills location is a commuter\u0027s dream. You are just a 5 minute drive to the Library Street T station, just minutes from downtown Pittsburgh, I-376, I-79 and I-51 and multiple bus stops are located throughout the community. Experience a whole new lifestyle! 24 Hour Emergency Maintenance, Baldwin-Whitehall School District, Breakfast Bars Available, Community and Private Garages Available, Convenient to Shopping and Restaurants, Cozy Resident Lounge with Business Center and Meeting Room, Decorative Ceiling Fans, Designer Kitchens in Select Apartments, Fixed Water Rates, Granite Like Counter Tops with New Lighting, High-speed Internet, Individual Climate Control, Laundry Care Center in Every Building, Microwave (Select Units), New Clubhouse and Fitness Center Now Open!!!, New Kitchens Available, One, Two and Three Bedroom Units Available, Online Maintenance Requests, Online Payments and Credit Cards Accepted, Online Rent Payment and Resident Portal, Other, Pet friendly, Pets Welcome ( Weight limit for Apts & Townhomes: Breed Restrictions Apply), Picnic Areas with Grilling Stations, Public Transportation On-Site, Relaxing Sundeck with FREE WiFi, Renovated Bathrooms with a Pedastal Sink, Renovated Kitchens with Full Size Black Appliances, Shimmering Outdoor Pool, Spacious Floor Plans, Two Fantastic Playgrounds, Under New Management and Ownership, Wall to Wall Carpet, Washer/Dryers in Select Apartments",670.0
717 Liberty Ave Pittsburgh PA 15222,0.0,1.0,1.0,680.0,2014.0,100.0,100.0,0.0,0.0,1.0,2.0,"Perched on bustling Liberty Avenue, the regal Clark Building offers residents luxurious accommodations in the most sought after location in the city. Within walking distance to the Cultural District, the Strip District, PNC Park and Heinz field, residents truly have the best of the city right outside their door. Newly renovated one and two- bedroom apartments feature hardwood floors, stainless steel appliances, granite countertops and in-suite washers and dryers. Added amenities include a 24-hour front desk attendant, a secured access building, a rooftop deck and a state of the art fitness center. Pets welcome. 24-Hour Front Desk, Amazing Downtown Location, Brand New One & Two Bedroom Apartment Homes, Close to PNC Park, Heinz Field, The Strip District and Cultural District, Granite Countertops, In-Suite Washer & Dryer, Make Your Home in a Historic Landmark Building, Pets Welcome, Rooftop Deck, Stainless Steel Appliances, State of the Art Fitness Center",1095.0
363 Negley Ave Pittsburgh PA 15232,0.0,1.0,1.0,900.0,1950.0,92.0,70.0,0.0,1.0,0.0,0.0,"Friendship - 1BR Apartment With All Utilities Included - Our Friendship apartments for rent in Pittsburgh are situated alongside Shadyside and Bloomfield allowing residents to enjoy all the nightlife, eateries and shopping that comes with the territory. Friendship is one of the few areas left in Pittsburgh that still has most of its traditional Victorian buildings. The rentals are close to UPMC Children's Hospital, West Penn Hospital, Pittsburgh Institute for Mortuary Science (PIMS) and many other colleges and universities of Pittsburgh (ie; Carnegie Mellon University [CMU], Duquesne University, Pittsburgh University, Carlow University, Chatham University and many others). Efficient public transportation makes it perfect for hospital employees, businessmen and students alike.

(RLNE5677139)Read less",855.0
16 Brownell St Pittsburgh PA 15232,0.0,5.0,2.5,2761.0,1950.0,96.0,73.0,0.0,1.0,1.0,0.0,"A Must See gorgeous spacious well-maintained 2-story 5 bedrooms house (2761 SqFt) in the heart of Shadyside. This house is conveniently located in the Shadyside shopping/restaurant area. Just about 5 minutes walk to Starbucks or many restaurants and shops. Main bus line is right at the corner of Ellsworth and S. Graham that takes you to Oakland (Pitt/CMU campuses and UPMC hospitals) and downtown. Moreover, Pitt/CMU campus, Shadyside hospital, and Giant Eagle Market District are all in the walking distance.

-Available: Aug. 1st
-Rent: $3,125+ $35/month/person for water and sewer + gas and electricity
-Off-street parking: $65/month/car (convenient and time saving)
-No smoking
-$35 application fee per personRead less",3125.0
300 Dithridge St Pittsburgh PA 15213,0.0,0.0,1.0,375.0,1950.0,88.0,70.0,0.0,1.0,1.0,2.0,"This secluded brick building, with its enclosed fountain courtyard, is located within walking distance of both Pittsburgh campuses and Oakland's night life. Features:-Studios to 2 bedroom apartments-Pet friendly-No Security Deposit-Heat, water, cooking gas, hot water, sewage and trash included in rent-Off-street parking in garage (subject to availability)-PITT-CMU-UPMC Area-On-site laundry-Intercom-Air conditioning-Hardwood floors or ceramic tile-Fully equipped kitchens",785.0
5557 Hobart St Pittsburgh PA 15217,0.0,2.0,1.0,870.0,1950.0,80.0,50.0,0.0,1.0,0.0,1.0,"Hobart Court is a no-brainer if you're looking for a comfortable apartment in an ideal location. The building has attractive curb appeal with well-kept landscaping and outdoor space in the courtyard. It holds one and two bedroom units with a handful of different floor plans to choose from. Most units have up-to-date kitchens and bathrooms, large living areas, as well as considerably bright windows. Some units feature original fireplaces, wood-inspired flooring, and ample closet space. Hobart Court has all the makings of a cozy apartment, and the location is the cherry on top! Only five minutes from the campuses of PITT and CMU, just down the road from Schenley Park, and within walking distance to Squirrel Hill's main strip, Murray Ave, you can easily walk to the grocery store, take a stroll to grab a cup of coffee, or to pick up that take-out you've been craving. Plus, there is a Healthy Ride Bike Station nearby and Hobart Court is a stop on Walnut Capital's resident shuttle route that goes around Pittsburgh's East End! You're a student? Lucky you! There are stops at CMU and PITT.",1398.0
414 Neville St Pittsburgh PA 15213,0.0,1.0,1.0,630.0,1950.0,85.0,70.0,0.0,1.0,1.0,0.0,"Deposit: equal to one month's rent. Property offers one and two bedroom units. On-site laundry. Off-street parking available. Location: 307, 311, 319, & 414 N Neville Street.Read less",1030.0
624 West Ave Pittsburgh PA 15202,0.0,1.0,1.0,765.0,1950.0,78.0,62.0,0.0,0.0,0.0,0.0,"Nice 1-Bed apartment FOR RENT in Bellevue, PA! 
 - This LARGE 1-Bedroom/1-Bath apartment (#35) will be available for rent in Bellevue, PA on June 1st! 

This spacious (765 square feet) 1 Bed/1Bath ground floor apartment offers off-street parking, a high-efficiency furnace, dishwasher, microwave, stove, and refrigerator. This property also includes 24-hour debit/credit card-read washers and dryers on-site, a gym, and a game room with darts and a pool table. Close and easy drive to Pittsburgh (10 minutes - even in traffic) and great local shopping, pizza...and more shopping! Close to Kuhn's, Allegheny Hospital, and public transportation. 

Northgate school district. 

Water, sewage, trash, quality maintenance response time, off-street parking, and an online tenant portal are INCLUDED in the rent! $800 per month. Tenants are required to put gas and electricity in their name and supply renters insurance prior to move in or pay a $25 per month non-compliance fee.

Have a small dog or cat? We love pets - all we need is a refundable pet security deposit of $300 and an additional $55 per month pet rent.

$45 application fee per adult for criminal and credit checks. If your application is approved there is a one-time $50 administration fee.

Mention 624 West #35 when you call. This apartment DOES NOT qualify for Section 8.

Call Rich with any questions that you have and schedule a good day/time to take a look at this great apartment.

(RLNE2728614)Read less",800.0
401 Amberson Ave Pittsburgh PA 15232,0.0,1.0,1.5,754.0,1903.0,75.0,72.0,75.0,2.0,1.0,2.0,"Shadyside Commons offers newly renovated 1- and 2- bedroom apartments that combine a contemporary living space with a peaceful environment in the coveted Shadyside neighborhood of Pittsburgh. Built in 1903, the building was constructed as a hardware store for Pittsburgh businessman John Bindle and, over a century later, the 4-story brick building still flaunts its unusually sharp style and quality details. Large brick arches, handsome cornices and oversized industrial windows couple with proximity to downtown Pittsburgh to create your perfect luxury residence. Apartments include modern kitchens and baths, ample closet space with adjustable shelving and custom storage, and in-suite washers \u0026 dryers. Located near the University of Pittsburgh, UPMC-Shadyside, and Carnegie Mellon, Shadyside Commons offers easy access to the city\u0027s parks, shopping, and restaurants, in the vibrant, yet cozy residential neighborhood of Shadyside. Ample Closet Space with Custom Shelving, Central Air Conditioning, Extra Storage, High Ceilings, High Ceilings with Large Windows, Historic Building, Large Closets, Smoke Free Community, USB Ports",1945.0
201 Osage Ln Pittsburgh PA 15208,0.0,1.0,1.0,520.0,1950.0,67.0,61.0,0.0,0.0,1.0,2.0,"This striking mansion with its original architectural details, like stained glass windows and ornate carved wood - was built in 1898 and illustrates what was common in Pittsburgh in those years.Features:-Studios to 2 bedroom apartments-Pet friendly-No Security Deposit-Heat, water, cooking gas, hot water, sewage and trash included in rent-Off-street parking in lot (subject to availability)-On-site laundry-Air conditioning-Hardwood floors or plush carpet-Fully equipped kitchens with dishwashers",915.0
1050 Nineteen North Dr Pittsburgh PA 15237,0.0,1.0,1.0,700.0,1972.0,41.0,62.0,0.0,0.0,1.0,2.0,"Beautiful scenery and spacious, unique floor plans welcome you home to Nineteen North Apartments. Choose from one-, two-, and three-bedroom apartment and townhome floor plans. Entertain your family and friends on your private patio or balcony. We offer renovated interiors, and our townhomes have an in-home washer \u0026 dryer. North Park is only minutes away for all your outdoor recreational needs. Shopping and dining are limitless with Ross Park Mall, McCandless Crossing, and North Hills Village all within five miles. Perfectly situated in McCandless Township, Nineteen North is an easy trip to downtown Pittsburgh, Cranberry Township, I-79, and the PA Turnpike. Nineteen North is located in the acclaimed North Allegheny School District. We welcome your cats and dogs to our pet friendly community, too! 24-hour Emergency Maintenance Service, Amazon Hub - Coming Soon, Bike Share Program - Coming Soon, Breakfast Bar in Select Homes, Built-in Shelving, Carpeting, Electronic Thermostat, Fire Pit with Social Area - Coming Soon, High Ceilings, High-speed Internet Available, Large Closets, Off-leash Dog Park, Outdoor Fitness Stations, Pet Friendly, Storage Spaces Available, Wooded Views in a Park-like Setting",1020.0
5562 Hobart St Pittsburgh PA 15217,0.0,1.0,1.0,716.0,1950.0,87.0,54.0,0.0,1.0,1.0,2.0,"This monumental apartment building from the Roaring 1920's sits in on the edge of Schenley Park, only a few blocks from the popular Murray Street.Features:-Studios to 2 bedroom apartments-Pet friendly-No Security Deposit-Heat, water, cooking gas, hot water, sewage and trash included in rent-Parking in garage (subject to availability)-PITT-CMU-UPMC Area-On-site laundry-Two elevators-Intercom-Air conditioning-Hardwood floors-Fully equipped kitchens",1100.0
2627 Shady Ave Pittsburgh PA 15217,0.0,2.0,1.0,900.0,1950.0,87.0,51.0,0.0,1.0,1.0,1.0,"Beautiful 2 bedroom duplex apt. Hardwood floors through out, new kitchen with granite countertops, Central AC, radiator heat, large clean basement with lots of room for storage with dedicated washer, dryer, and laundry chute. Off street parking. Located 1 block from Squirrel Hill business district, quick walk to Frick Park.

Owner pays water and sewage. Tenant pays gas and electric.Read less",1250.0
3358 Perrysville Ave Pittsburgh PA 15214,0.0,2.0,1.0,1000.0,1950.0,20.0,40.0,0.0,1.0,1.0,0.0,"$950 rent + $200 covers all utilities + WiFi. Fully furnished 5-star rated former nightly rental now available as a short- or long-term rental. Stays must be 90 days or more. Visitors love this cool, cozy, sun-drenched attic apartment. 50 inch smart TV. 2 queen beds in separate rooms great views.0 Off-street parking pad. Shared laundry available. Linens, towels, pillows, cook and silverware, etc provided. 10 minutes or less to downtown.Private entrance. Right across from Riverview Park. Note: there are a lot of stairs! Step in and start living without a care! Professionally managed.

WiFi included; tenant pays for Cable TV as desiredRead less",950.0
6535 Northumberland St Pittsburgh PA 15217,0.0,2.0,1.0,1000.0,1950.0,68.0,53.0,0.0,0.0,0.0,0.0,"This is the perfect location.
Safe, and near to buses to CMU, Pitt, Chatham, hospitals, and 6 minutes walk to Starbucks!
Parking on the street is easy and free!

This unit is ok with up to 3 unrelated folks.
the 3rd person is +100.
You pay for the gas heat, and electric.
If you use our hook-up for Washer dryer, it's 50/month for 2 folks.Read less",1350.0
594 End Ave Pittsburgh PA 15221,0.0,2.0,1.0,1100.0,1950.0,71.0,58.0,0.0,1.0,1.0,1.0,"Totally remodeled bright apartment in the heart of vibrant Regent Square. Seconds from the park and nearby restaurants. Walking distance from the shops on Braddock. Access to public transportation - 61A and 61B bus stops in your backyard! Close to busway, East End Food COOP, and Edgewood Town Center. Feel like going out? Hop on Penn Avenue and be at Bakery Square in under 5 minutes. Don't let this opportunity slip away!Read less",1795.0
2400 Village Rd Pittsburgh PA 15205,0.0,2.0,1.0,820.0,1973.0,20.0,40.0,0.0,0.0,1.0,1.0,"Emerald Gardens, a luxury community in the West End of Pittsburgh is designed with convenience and comfort in mind. Newly renovated apartment town homes feature granite counter tops, fully equipped kitchens with all new appliances, ceramic tile kitchen and baths, spacious closets, private entrances, as well as a sliding glass door to your own patio. Notice the difference with our community featuring a remote park-like setting, deluxe fitness center, gazebos, gated security in the evenings and maintenance. All just minutes away from downtown Pittsburgh and the Pittsburgh Aiport. Emerald Gardens is the perfect place to relax after a long day in the city! We are also a pet friendly community where would love to have your dogs and cats. Emerald Gardens is the perfect place to be if you like to work and play in the city of Pittsburgh but come home to peace and quiet! Emerald Gardens is located near the Crafton/Ingram Shopping Center minutes away form the nightlife, restaurants, and shopping that the Southside and Pittsburgh has to offer. Call today for your personal tour to see Emerald Gardens. Brand New Sand Volleyball Court, Centrally Located Between Airport & Downtown, Ceramic Tile in Kitchen & Bath, Charcoal grills, Close to Station Square and Southside works, Dog park, Dog Paw Spa, Freeway Access Rt 51 and 60, Gated Community, Gazebo, Glass sliding doors opening to patio, Granite Breakfast Bar in select units, Granite Countertops, Mini-blinds, Modern Recessed Lighting in select units, NEW! Paw Spa, Newly Renovated, On-site laundy, Park Like Setting, Pavillion, Picnic Pavillion with Charcoal Grills, Private Entrance, Spacious Closet, Stainless Appliances in select units, Two-Story Townhomes, Wood Floors Available in Select Units",1185.0
245 Melwood Ave Pittsburgh PA 15213,0.0,0.0,1.0,328.0,1950.0,87.0,70.0,0.0,1.0,0.0,1.0,"1 BR, 1BA - A great place for both students and professionals alike, the Wellington welcomes residents with a gracious lobby featuring old world details. Enjoy being steps away from several restaurants, specialty shops, and major bus routes.This 1 bedroom, 1 bath apartment features lots of storage space, natural light, and plenty of style and character. There is an additional monthly flat monthly utility charge of $150 that covers water, electric, gas, heat, sewage and refuse removal. Other amenities include laundry facilities on site and available parking options.No Dogs Allowed(RLNE4654261)",790.0
5814 Elmer St Pittsburgh PA 15232,0.0,2.0,1.0,935.0,1950.0,95.0,71.0,0.0,1.0,0.0,2.0,"Maryland Gardens offers affordable 2 - 3.5 bedroom townhouses as well as 1- 2 bedroom duplex style units in the heart of Shadyside.Hardwood floors Kitchens equipped with: Standard fridge, sink, and dishwasher. Basement storage. Parking subject to availability. Basement Laundry.Coin operated laundry available in shared units. Laundry hook-ups available in townhouses.Rent includes gas heat, trash, water, and sewage utilities. Tenants are responsible for phone cable and internet. No central AC, window units are to be provided and maintained by tenants.Proof of payment in the amount of 1 month of rent as well as the required application fees are required to hold an apartment.Security deposit is an additional amount to be paid before the move in date. The security deposit is the same amount as the rental amount.",1584.0
